gpt_cwe_loc_s,gpt_cwe_loc_m,gpt_cwe_loc_h,gemini_cwe_loc_s,gemini_cwe_loc_m,gemini_cwe_loc_h,copilot_cwe_loc_s,copilot_cwe_loc_m,copilot_cwe_loc_h,codellama_cwe_loc_s,codellama_cwe_loc_m,codellama_cwe_loc_h
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1428571428571428,0.0416666666666666,0.0194174757281553,0.1428571428571428,0.1,0.1176470588235294,0.1428571428571428,0.1333333333333333,0.1,0.25,0.1818181818181818,0.25
0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.1428571428571428,0.0,0.1111111111111111,0.0833333333333333,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.125,0.0,0.1428571428571428,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.125,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0909090909090909,0.0727272727272727,0.0769230769230769,0.05,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0317460317460317,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
